id,lad_name,house_price,imd_score,income_score,employment_score,edu_score,health_score,crime_score,housing_barriers_score,living_envir_score,income_decile,employment_decile,edu_decile,health_decile,crime_decile,housing_barriers_decile,living_envir_decile
E07000040,East Devon,303549.4444,12.70650617,0.08162963,0.07291358,14.66041975,-0.627703704,-0.960037037,18.19160494,20.96934568,6.703703704,6.395061728,6.308641975,7.925925926,8.790123457,6.49382716,6.024691358
E07000041,Exeter,255027.9324,16.31505405,0.096918919,0.080432432,18.57339189,-0.05822973,-0.323094595,16.90060811,23.53227027,6.216216216,6.135135135,5.905405405,5.689189189,6.675675676,6.837837838,4.918918919
E07000042,Mid Devon,246277.5,17.32037209,0.094139535,0.07672093,20.0512093,-0.734302326,-0.929255814,25.88881395,36.12672093,6.11627907,6.325581395,5.418604651,8.23255814,8.651162791,4.604651163,3.790697674
E07000043,North Devon,249169.7845,20.81246552,0.112775862,0.093517241,21.04489655,0.162310345,-0.674017241,26.09722414,27.02508621,5.603448276,5.448275862,5.120689655,4.913793103,7.75862069,4.534482759,5.086206897
E07000044,South Hams,304353.2041,13.58540816,0.087428571,0.073836735,8.62555102,-0.567163265,-1.034469388,21.4975102,27.92734694,6.489795918,6.367346939,7.836734694,7.693877551,9.081632653,5.653061224,4.755102041
E07000045,Teignbridge,263049.9107,15.66014286,0.099809524,0.081619048,15.45320238,-0.276678571,-0.665619048,19.0812619,24.94345238,6.035714286,5.988095238,6.202380952,6.619047619,7.928571429,6.226190476,5.119047619
E07000046,Torridge,238222.9054,23.01189189,0.119432432,0.098756757,24.06632432,0.104864865,-0.92772973,28.51202703,37.16156757,5.108108108,4.837837838,4.27027027,5,8.702702703,4.027027027,3.72972973
E07000047,West Devon,259210.3226,18.01174194,0.09683871,0.083225806,12.99970968,-0.170290323,-0.977645161,25.62045161,37.46106452,5.935483871,5.612903226,6.548387097,6.064516129,8.838709677,4.677419355,3.548387097
E07000061,Eastbourne,260825.3443,21.88967213,0.139278689,0.115065574,24.89883607,0.043229508,-0.068688525,22.66565574,13.74198361,4.704918033,4.37704918,4.639344262,5.344262295,5.721311475,5.081967213,7.016393443
E07000062,Hastings,227490.0943,34.5869434,0.203811321,0.158264151,33.42686792,0.653566038,0.476150943,26.92930189,23.06445283,3.320754717,3.301886792,3.528301887,3.245283019,3.698113208,3.509433962,5.188679245
E07000063,Lewes,352867.2581,15.76230645,0.098725806,0.081790323,20.48220968,-0.387370968,-0.530887097,24.16885484,14.57819355,6.048387097,5.935483871,5.516129032,6.951612903,7.5,4.677419355,7.064516129
E07000064,Rother,323676.6667,19.7997069,0.113293103,0.099051724,19.60972414,-0.072758621,-0.430724138,26.70062069,22.79515517,5.586206897,5.086206897,5.586206897,5.724137931,7.206896552,4.034482759,5.327586207
E07000065,Wealden,367412.2632,12.48763158,0.073978947,0.0614,14.57707368,-0.927284211,-0.746357895,25.81788421,21.20169474,7.231578947,7.357894737,6.515789474,8.557894737,8.221052632,4.389473684,5.684210526
E07000066,Basildon,320751.7431,22.80630909,0.134490909,0.100481818,31.6428,-0.103736364,0.383390909,24.34447273,10.23715455,5.263636364,5.263636364,3.845454545,5.763636364,4.236363636,4.463636364,7.8
E07000067,Braintree,298988.4195,14.79156322,0.092586207,0.074850575,21.66863218,-0.367344828,-0.280885057,20.60342529,13.80385057,6.356321839,6.252873563,4.954022989,6.942528736,6.586206897,5.793103448,7.149425287
E07000068,Brentwood,492201.087,10.04169565,0.064195652,0.051521739,12.45134783,-1.047717391,-0.0835,22.29347826,9.694152174,7.695652174,7.97826087,6.891304348,8.826086957,5.804347826,5.217391304,8.02173913
E07000069,Castle Point,303565.8772,16.84433333,0.106947368,0.086210526,29.72015789,-0.302122807,-0.191877193,19.61707018,8.646964912,5.877192982,5.719298246,3.684210526,6.614035088,6.228070175,5.894736842,8.368421053
E07000070,Chelmsford,369906.986,12.06096262,0.076485981,0.062897196,13.23295327,-0.839682243,-0.239429907,24.96031776,12.01657944,7.196261682,7.280373832,6.644859813,8.420560748,6.448598131,4.523364486,7.542056075
E07000071,Colchester,278291.8029,17.0886381,0.10112381,0.079438095,18.37965714,-0.092552381,-0.133733333,26.14782857,12.38790476,6.076190476,6.038095238,5.847619048,5.838095238,5.971428571,4.152380952,7.514285714
E07000072,Epping Forest,504121.4936,14.7425,0.090564103,0.065115385,19.34555128,-0.780076923,0.302846154,22.40980769,16.20738462,6.461538462,7,5.346153846,8.217948718,4.269230769,5.294871795,6.333333333
E07000073,Harlow,278133.3333,21.64987037,0.135333333,0.098759259,27.35431481,0.22587037,0.236981481,26.60712963,3.819444444,4.574074074,4.759259259,3.740740741,4.444444444,4.555555556,3.685185185,9.62962963
E07000074,Maldon,337530.8125,14.016925,0.085875,0.07135,20.441925,-0.532825,-0.65525,22.61925,16.8157,6.45,6.55,4.95,7.55,8,5.5,6.25
E07000075,Rochford,335556.3679,10.53201887,0.073622642,0.05890566,20.74988679,-0.938528302,-0.595358491,19.60586792,6.591075472,7.358490566,7.396226415,4.924528302,8.773584906,7.754716981,6,8.924528302
E07000076,Tendring,239346.8539,30.03685393,0.169460674,0.148280899,35.13529213,0.683179775,0.186808989,19.44604494,19.70188764,4.02247191,3.382022472,3.179775281,3.08988764,4.97752809,6.078651685,5.93258427
E07000077,Uttlesford,432770.3696,9.281565217,0.053869565,0.041282609,9.811369565,-1.298,-0.55576087,29.17654348,14.15965217,8.195652174,8.782608696,7.456521739,9.543478261,7.782608696,4,6.869565217
E07000078,Cheltenham,297513.2,14.29170667,0.091786667,0.072893333,15.42768,-0.163253333,-0.15784,17.11418667,13.20802667,6.8,6.853333333,6.96,6.146666667,6.053333333,6.666666667,7.186666667
E07000079,Cotswold,370355.6667,10.97486275,0.064764706,0.050215686,11.26637255,-0.862333333,-1.05254902,27.54645098,20.20511765,7.666666667,8.117647059,7.274509804,8.568627451,9.137254902,4.274509804,5.941176471
E07000080,Forest of Dean,243157.9,18.1901,0.10882,0.09364,24.16874,-0.4039,-0.83258,22.70948,24.32072,5.64,5.2,4.6,7.02,8.5,5.34,4.98
E07000081,Gloucester,200834.3182,22.09862821,0.127397436,0.100397436,27.49085897,0.41124359,-0.234961538,21.47692308,14.68723077,5.5,5.384615385,4.474358974,4.076923077,6.256410256,5.269230769,6.923076923
E07000082,Stroud,292129.529,10.82198551,0.07784058,0.067043478,12.04292754,-0.570057971,-1.074898551,18.54508696,14.77217391,7,6.884057971,7.086956522,7.594202899,8.971014493,6.289855072,6.826086957
E07000083,Tewkesbury,286759,12.09806,0.07644,0.06084,15.79808,-0.5806,-0.85436,23.7748,15.5348,7.28,7.4,6.44,7.66,8.5,4.98,6.62
E07000084,Basingstoke and Deane,338192.7294,12.6726422,0.069486239,0.057550459,16.40498165,-0.519211009,-0.162504587,23.76350459,11.69388991,7.541284404,7.605504587,6.348623853,7.321100917,6.073394495,4.770642202,7.71559633
E07000085,East Hampshire,394912.7778,10.389,0.061708333,0.053430556,11.32677778,-0.835833333,-0.391208333,22.539875,16.87094444,7.888888889,7.833333333,7.430555556,8.388888889,6.986111111,5.180555556,6.388888889
E07000086,Eastleigh,303721.3312,10.06528571,0.064688312,0.055506494,14.67022078,-0.775974026,-0.232441558,15.43051948,13.99471429,7.818181818,7.753246753,6.467532468,8.207792208,6.402597403,7.246753247,6.818181818
